# Continent of each country, keyed by ISO 3166-1 alpha-3 so that the name
# aliases in geo_overrides.tsv are reused. Continents follow UN M49 with the
# Americas split into North/South as BTyperDB does (Caribbean and Central
# America count as North America). The last four codes are the non-ISO ones
# BTyperDB coined; see country_extra in geo_overrides.tsv.
alpha3	continent	name
ABW	North America	Aruba
AFG	Asia	Afghanistan
AGO	Africa	Angola
AIA	North America	Anguilla
ALA	Europe	Åland Islands
ALB	Europe	Albania
AND	Europe	Andorra
ARE	Asia	United Arab Emirates
ARG	South America	Argentina
ARM	Asia	Armenia
ASM	Oceania	American Samoa
ATA	Antarctica	Antarctica
ATF	Antarctica	French Southern Territories
ATG	North America	Antigua and Barbuda
AUS	Oceania	Australia
AUT	Europe	Austria
AZE	Asia	Azerbaijan
BDI	Africa	Burundi
BEL	Europe	Belgium
BEN	Africa	Benin
BES	North America	Bonaire, Sint Eustatius and Saba
BFA	Africa	Burkina Faso
BGD	Asia	Bangladesh
BGR	Europe	Bulgaria
BHR	Asia	Bahrain
BHS	North America	Bahamas
BIH	Europe	Bosnia and Herzegovina
BLM	North America	Saint Barthélemy
BLR	Europe	Belarus
BLZ	North America	Belize
BMU	North America	Bermuda
BOL	South America	Bolivia, Plurinational State of
BRA	South America	Brazil
BRB	North America	Barbados
BRN	Asia	Brunei Darussalam
BTN	Asia	Bhutan
BVT	Antarctica	Bouvet Island
BWA	Africa	Botswana
CAF	Africa	Central African Republic
CAN	North America	Canada
CCK	Asia	Cocos (Keeling) Islands
CHE	Europe	Switzerland
CHL	South America	Chile
CHN	Asia	China
CIV	Africa	Côte d'Ivoire
CMR	Africa	Cameroon
COD	Africa	Congo, Democratic Republic of the
COG	Africa	Congo
COK	Oceania	Cook Islands
COL	South America	Colombia
COM	Africa	Comoros
CPV	Africa	Cabo Verde
CRI	North America	Costa Rica
CUB	North America	Cuba
CUW	North America	Curaçao
CXR	Asia	Christmas Island
CYM	North America	Cayman Islands
CYP	Asia	Cyprus
CZE	Europe	Czechia
DEU	Europe	Germany
DJI	Africa	Djibouti
DMA	North America	Dominica
DNK	Europe	Denmark
DOM	North America	Dominican Republic
DZA	Africa	Algeria
ECU	South America	Ecuador
EGY	Africa	Egypt
ERI	Africa	Eritrea
ESH	Africa	Western Sahara
ESP	Europe	Spain
EST	Europe	Estonia
ETH	Africa	Ethiopia
FIN	Europe	Finland
FJI	Oceania	Fiji
FLK	South America	Falkland Islands (Malvinas)
FRA	Europe	France
FRO	Europe	Faroe Islands
FSM	Oceania	Micronesia, Federated States of
GAB	Africa	Gabon
GBR	Europe	United Kingdom of Great Britain and Northern Ireland
GEO	Asia	Georgia
GGY	Europe	Guernsey
GHA	Africa	Ghana
GIB	Europe	Gibraltar
GIN	Africa	Guinea
